id,sector,sector_ordinal,name_vi,activation_features,assessment_route,assessment_route_evidence
VN_D33_EDU_01,education,1,"Hệ thống trí tuệ nhân tạo cung cấp nội dung tự học theo chương trình giáo dục, có sử dụng các nguồn dữ liệu không kiểm soát",automated_content|uncontrolled_data|large_scale,ARTICLE_13_2_B_PROVIDER_SELF_OR_THIRD_PARTY,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_EDU_02,education,2,"Hệ thống có sử dụng AI tự động kiểm tra, đánh giá kết quả, xếp hạng người học",automated_assessment|official_decision_basis,ARTICLE_13_2_B_PROVIDER_SELF_OR_THIRD_PARTY,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_EDU_03,education,3,"Hệ thống có sử dụng AI để giám sát, phân tích hành vi người học",biometric_or_behavior_monitoring|high_frequency_feedback|privacy_or_psychological_risk,ARTICLE_13_2_B_PROVIDER_SELF_OR_THIRD_PARTY,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_ERA_01,ethnic_and_religious_affairs,1,"Hệ thống trí tuệ nhân tạo tự động chấm điểm, phân loại, xếp hạng hồ sơ để xác định đối tượng, địa bàn thụ hưởng chính sách dân tộc",automated_scoring|public_benefit_allocation,ARTICLE_13_2_B_PROVIDER_SELF_OR_THIRD_PARTY,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_ERA_02,ethnic_and_religious_affairs,2,Hệ thống trí tuệ nhân tạo tự động xác thực và quyết định tính hợp lệ của thông tin liên quan đến dân tộc và tôn giáo,automated_validation|accept_or_reject|no_authority_reapproval,ARTICLE_13_2_B_PROVIDER_SELF_OR_THIRD_PARTY,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_ERA_03,ethnic_and_religious_affairs,3,"Hệ thống trí tuệ nhân tạo tự động quyết định chấp thuận hoặc từ chối hồ sơ đăng ký, gia hạn hoặc hủy bỏ các quyết định quản lý nhà nước trong lĩnh vực dân tộc và tôn giáo",final_administrative_decision|no_human_reapproval,ARTICLE_13_2_B_PROVIDER_SELF_OR_THIRD_PARTY,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_ERA_04,ethnic_and_religious_affairs,4,"Hệ thống trí tuệ nhân tạo tự động ra quyết định cuối cùng về phê duyệt hoặc từ chối hồ sơ xác định đối tượng, địa bàn thụ hưởng chính sách dân tộc",final_benefit_eligibility_decision,ARTICLE_13_2_A_THIRD_PARTY_CERTIFICATION,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_ERA_05,ethnic_and_religious_affairs,5,"Hệ thống trí tuệ nhân tạo tự động thực thi việc dừng chi trả, thu hồi hoặc khóa quyền hưởng hỗ trợ do nghi ngờ gian lận",automatic_benefit_interruption|no_independent_verification,ARTICLE_13_2_A_THIRD_PARTY_CERTIFICATION,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_ERA_06,ethnic_and_religious_affairs,6,"Hệ thống trí tuệ nhân tạo tự động ra lệnh phân bổ hoặc điều phối nguồn ngân sách, chính sách hỗ trợ theo thuật toán",automatic_public_resource_allocation|direct_execution,ARTICLE_13_2_A_THIRD_PARTY_CERTIFICATION,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_ERA_07,ethnic_and_religious_affairs,7,"Hệ thống trí tuệ nhân tạo suy đoán, phân loại về dân tộc, tín ngưỡng, tôn giáo để áp dụng biện pháp quản lý",sensitive_attribute_inference|administrative_measure_basis,ARTICLE_13_2_A_THIRD_PARTY_CERTIFICATION,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_HLT_01,healthcare,1,Hệ thống trí tuệ nhân tạo hỗ trợ phẫu thuật/rô-bốt phẫu thuật,robotic_surgery|direct_intervention_or_guidance,ARTICLE_13_2_B_PROVIDER_SELF_OR_THIRD_PARTY,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_HLT_02,healthcare,2,"Hệ thống trí tuệ nhân tạo hỗ trợ phẫu thuật/rô-bốt phẫu thuật (hệ thống máy móc, thiết bị rô-bốt sử dụng trí tuệ nhân tạo điều khiển tự động)",robotic_surgery|automatic_treatment_execution|no_stepwise_clinician_confirmation,ARTICLE_13_2_A_THIRD_PARTY_CERTIFICATION,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_BNK_01,banking,1,Hệ thống trí tuệ nhân tạo tự động thực hiện giao dịch điện tử trong hoạt động ngân hàng,automatic_transaction_creation_or_approval|high_value|no_human_control,ARTICLE_13_2_B_PROVIDER_SELF_OR_THIRD_PARTY,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_BNK_02,banking,2,Hệ thống trí tuệ nhân tạo tự động quyết định cấp tín dụng,credit_scoring|final_credit_decision|no_independent_credit_officer_approval,ARTICLE_13_2_B_PROVIDER_SELF_OR_THIRD_PARTY,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_PRC_01,proceedings,1,Hệ thống trí tuệ nhân tạo nhận dạng sinh trắc học diện rộng phục vụ giải quyết vụ án dân sự công ích,large_scale_biometric_identification|public_interest_civil_proceeding,ARTICLE_13_2_A_THIRD_PARTY_CERTIFICATION,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_TRN_01,transport,1,Hệ thống trí tuệ nhân tạo điều khiển tự hành cấp độ cao trên phương tiện giao thông,high_automation|safety_critical_physical_control,ARTICLE_13_2_B_PROVIDER_SELF_OR_THIRD_PARTY,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_TRN_02,transport,2,"Hệ thống trí tuệ nhân tạo điều khiển hoặc tự động vận hành tín hiệu, điều độ giao thông đường bộ và đường sắt",traffic_signal_or_dispatch_control|no_independent_approval,ARTICLE_13_2_B_PROVIDER_SELF_OR_THIRD_PARTY,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_TRN_03,transport,3,"Hệ thống trí tuệ nhân tạo điều hành, kiểm soát vận hành công trình giao thông và hạ tầng kỹ thuật trọng yếu",critical_infrastructure_control|physical_state_change,ARTICLE_13_2_B_PROVIDER_SELF_OR_THIRD_PARTY,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_TRN_04,transport,4,"Hệ thống trí tuệ nhân tạo tự động phát hiện, đánh giá nguy cơ sự cố và phát lệnh hạn chế hoặc dừng khai thác công trình, kết cấu hạ tầng",automatic_safety_assessment|automatic_stop_or_restrict|no_independent_human_assessment,ARTICLE_13_2_B_PROVIDER_SELF_OR_THIRD_PARTY,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_TRN_05,transport,5,"Hệ thống trí tuệ nhân tạo tự động thẩm định, chấm điểm, xếp hạng hoặc phân loại hồ sơ để làm căn cứ quyết định cuối cùng",administrative_scoring|final_public_service_decision|no_independent_approval,ARTICLE_13_2_B_PROVIDER_SELF_OR_THIRD_PARTY,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_TRN_06,transport,6,"Hệ thống trí tuệ nhân tạo tự động phát hiện vi phạm hoặc nhận diện sinh trắc học theo thời gian thực để phục vụ kiểm soát, xử lý",real_time_biometric_or_violation_detection|enforcement_basis|no_independent_verification,ARTICLE_13_2_B_PROVIDER_SELF_OR_THIRD_PARTY,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_TRN_07,transport,7,"Hệ thống trí tuệ nhân tạo quản lý không lưu tự động (Automated Air Traffic Management - A-ATM) ra quyết định phân luồng, điều hướng phương tiện bay",air_traffic_control|automatic_instruction|no_direct_controller_approval,ARTICLE_13_2_B_PROVIDER_SELF_OR_THIRD_PARTY,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_TRN_08,transport,8,"Hệ thống trí tuệ nhân tạo hỗ trợ hoặc thay thế kiểm soát viên không lưu trong ra quyết định phân tách máy bay, cấp phép cất/hạ cánh (AI-ATC Decision Support System)",air_traffic_separation|takeoff_landing_clearance|no_independent_controller_approval,ARTICLE_13_2_B_PROVIDER_SELF_OR_THIRD_PARTY,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_TRN_09,transport,9,Hệ thống trí tuệ nhân tạo dự báo xung đột quỹ đạo tàu bay và tự động phát lệnh tránh va chạm (Trajectory Conflict Prediction & Resolution),trajectory_conflict_resolution|automatic_separation_action,ARTICLE_13_2_B_PROVIDER_SELF_OR_THIRD_PARTY,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_TRN_10,transport,10,Hệ thống trí tuệ nhân tạo tự động điều phối slot cất/hạ cánh và phân bổ cổng ra tàu bay tại cảng hàng không (ATFM/CDM),slot_allocation|large_airport_threshold|no_coordinator_review,ARTICLE_13_2_B_PROVIDER_SELF_OR_THIRD_PARTY,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_TRN_11,transport,11,Hệ thống điều khiển bay tự hành tích hợp AI (Autopilot/FMS) có khả năng ra quyết định điều hướng độc lập trong tình huống bất thường,autonomous_flight_control|abnormal_situation_decision|no_pilot_confirmation,ARTICLE_13_2_B_PROVIDER_SELF_OR_THIRD_PARTY,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_TRN_12,transport,12,Hệ thống trí tuệ nhân tạo tự động cảnh báo va chạm và điều hướng tránh va chạm (Collision Avoidance System CAS) thế hệ mới trên tàu bay,automatic_collision_avoidance|direct_aircraft_control,ARTICLE_13_2_B_PROVIDER_SELF_OR_THIRD_PARTY,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_TRN_13,transport,13,Hệ thống trí tuệ nhân tạo dự báo và xử lý tình huống khẩn nguy bay (AI Emergency Flight Decision System),emergency_flight_decision|automatic_diversion_or_landing|no_pilot_or_controller_confirmation,ARTICLE_13_2_B_PROVIDER_SELF_OR_THIRD_PARTY,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_TRN_14,transport,14,Hệ thống trí tuệ nhân tạo dự báo thời tiết hàng không có chức năng tự động phát lệnh đóng đường băng hoặc hủy chuyến,aviation_weather_decision|automatic_runway_closure_or_cancellation|no_authority_approval,ARTICLE_13_2_B_PROVIDER_SELF_OR_THIRD_PARTY,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_TRN_15,transport,15,Hệ thống trí tuệ nhân tạo điều hành hoạt động tàu bay trên mặt đất tại sân bay (ASMGCS Level 3-4),ground_movement_control|automatic_taxi_or_routing|no_ground_controller_confirmation,ARTICLE_13_2_B_PROVIDER_SELF_OR_THIRD_PARTY,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_TRN_16,transport,16,Hệ thống trí tuệ nhân tạo phân bổ vị trí đỗ tàu bay và cổng ra tàu bay tự động (Stand/Gate Allocation),stand_gate_allocation|no_airport_operator_approval,ARTICLE_13_2_B_PROVIDER_SELF_OR_THIRD_PARTY,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_TRN_17,transport,17,"Hệ thống trí tuệ nhân tạo điều khiển phương tiện tự hành trong khu bay (follow-me car, xe nạp hành lý, xe tiếp nhiên liệu)",autonomous_airside_vehicle|collision_risk|no_direct_operator_supervision,ARTICLE_13_2_B_PROVIDER_SELF_OR_THIRD_PARTY,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_TRN_18,transport,18,Hệ thống trí tuệ nhân tạo điều khiển drone/UAV được cấp phép trong không phận kiểm soát sân bay (U-Space/UTM),authorized_uav_control|controlled_airspace|no_direct_atc_supervision,ARTICLE_13_2_B_PROVIDER_SELF_OR_THIRD_PARTY,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_TRN_19,transport,19,Hệ thống trí tuệ nhân tạo tự động phân tích dữ liệu kỹ thuật và ra quyết định cho phép/không cho phép tàu bay khai thác (Predictive Maintenance AI),predictive_maintenance|grounding_or_release_decision|no_certified_engineer_approval,ARTICLE_13_2_B_PROVIDER_SELF_OR_THIRD_PARTY,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_TRN_20,transport,20,Hệ thống trí tuệ nhân tạo quản lý nhiên liệu hàng không tự động (tự động ra lệnh nạp nhiên liệu),automatic_fuel_management|no_flight_engineer_confirmation,ARTICLE_13_2_B_PROVIDER_SELF_OR_THIRD_PARTY,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_TRN_21,transport,21,"Hệ thống trí tuệ nhân tạo phân tích hình ảnh soi chiếu và tự động phát hiện, phân loại vật phẩm nguy hiểm trong hành lý tại cửa kiểm tra an ninh (Automated Threat Detection)",baggage_threat_detection|automatic_alarm_or_isolation|no_mandatory_human_recheck,ARTICLE_13_2_B_PROVIDER_SELF_OR_THIRD_PARTY,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_TRN_22,transport,22,Hệ thống trí tuệ nhân tạo phân tích hành vi hành khách qua camera (Behavior Detection AI) tại khu vực kiểm soát an ninh,passenger_behavior_detection|automatic_security_intervention|liberty_impact,ARTICLE_13_2_B_PROVIDER_SELF_OR_THIRD_PARTY,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_TRN_23,transport,23,Hệ thống trí tuệ nhân tạo quản lý an ninh hàng không và tự động xác định đối tượng nguy cơ/từ chối vận chuyển hành khách,aviation_security_risk_scoring|automatic_denial_of_carriage|no_authorized_verification,ARTICLE_13_2_B_PROVIDER_SELF_OR_THIRD_PARTY,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_TRN_24,transport,24,Hệ thống trí tuệ nhân tạo tự động phát hiện và xử lý thiết bị bay không người lái (UAV/drone) xâm phạm vùng cấm bay quanh cảng hàng không (Counter-UAV),counter_uav|automatic_countermeasure|no_authorized_confirmation,ARTICLE_13_2_B_PROVIDER_SELF_OR_THIRD_PARTY,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_TRN_25,transport,25,Hệ thống trí tuệ nhân tạo điều khiển tự động luồng năng lượng và dự phòng tại các trạm điện/đài kiểm soát không lưu (SCADA/ICS),aviation_scada_control|physical_grid_intervention|no_engineer_confirmation,ARTICLE_13_2_B_PROVIDER_SELF_OR_THIRD_PARTY,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_TRN_26,transport,26,Hệ thống trí tuệ nhân tạo giám sát và phát hiện xâm nhập khu bay (Runway/Taxiway Incursion Detection),runway_incursion_detection|automatic_physical_control_action|no_airport_staff_confirmation,ARTICLE_13_2_B_PROVIDER_SELF_OR_THIRD_PARTY,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_TRN_27,transport,27,Hệ thống trí tuệ nhân tạo giám sát tình trạng đường cất hạ cánh và phát hiện vật thể lạ trên đường băng (FOD Detection),fod_detection|automatic_warning_or_restriction|no_airport_staff_confirmation,ARTICLE_13_2_B_PROVIDER_SELF_OR_THIRD_PARTY,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_TRN_28,transport,28,"Hệ thống trí tuệ nhân tạo giám sát và điều khiển hạ tầng sân bay (đèn hiệu đường băng, hệ thống ILS/GBAS, cấp điện)",airport_critical_infrastructure_control|direct_technical_control,ARTICLE_13_2_B_PROVIDER_SELF_OR_THIRD_PARTY,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_TRN_29,transport,29,Hệ thống trí tuệ nhân tạo kiểm soát thiết bị hỗ trợ hạ cánh chính xác tích hợp AI (ILS/GBAS với AI),precision_landing_control|automatic_decision|safety_critical,ARTICLE_13_2_B_PROVIDER_SELF_OR_THIRD_PARTY,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_TRN_30,transport,30,Hệ thống trí tuệ nhân tạo đánh giá rủi ro an ninh đối với hồ sơ cấp thẻ kiểm soát an ninh hàng không,security_pass_risk_assessment|sole_denial_basis|no_independent_board_review,ARTICLE_13_2_B_PROVIDER_SELF_OR_THIRD_PARTY,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
VN_D33_TRN_31,transport,31,"Hệ thống trí tuệ nhân tạo tự động thanh tra, kiểm tra và cảnh báo vi phạm về tĩnh không sân bay qua dữ liệu vệ tinh/ảnh hàng không",airspace_obstacle_inspection|legal_enforcement_basis|no_field_assessment,ARTICLE_13_2_B_PROVIDER_SELF_OR_THIRD_PARTY,TWO_HTML_TRANSCRIPTIONS_MATCH_PENDING_SIGNED_PDF_VISUAL
